,SSE,R²,AIC,BIC
Linear Regression (1st),14.654476020460134,0.14922872877612903,-2783.1500721930365,-2746.5271813312684
Linear Regression (2nd),11.44139499949192,0.3357653897210756,-2905.108252417037,-2740.305243539079
LASSO Regression,14.70179433082405,0.1464816459732865,-2782.8322099980974,-2750.78718049405
Ridge Regression,14.655606749596373,0.14916308385895116,-2783.094596795322,-2746.471705933554
PCR,15.048659927397761,0.12634422965564895,-2768.06556412698,-2740.5983959806535
Shallow NN,17.000359140789925,0.013037577237233533,-2294.3867324426365,-1383.3923222561482
Deep NN,17.122718709958157,0.005933945141325059,-1885.2302862573106,-49.50788181117059
Autoregressive Deep NN,23.04891329524346,0.004323051253645294,-917.0949794143467,2634.2454061670755
LSTM,23.14166831970215,0.0006494522094726562,8931.353515625,35029.74062771144
JITL (k-NN + Local NN),6.191601558191499,0.6405441776819747,-3236.605983794411,-2820.0206002417954
